GSc
41
38
50
58
62
67
48
57
53
83
59
40
46
49
59
29
16
28
63
47
62
71
43
61
63
61
66
69
60
42
51
60
57
74
62
46
69
62
44
42
48
45
59
61
58
28
15
51
49
51
76
71
57
70
35
74
66
42
68
54
42
62
69
48
64
74
27
71
19
48
73
42
84
73
49
35
52
52
87
36
50
75
65
49
57
38
49
63
72
49
72
69
72
65
80
14
58
44
66
44
66
58
87
79
59
43
65
82
61
20
67
76
53
27
74
56
79
50
55
51
74
