name,avg_bat_speed
"Torkelson, Spencer",73.55917049
"Torres, Gleyber",70.16523755
"Tovar, Ezequiel",71.31665061
"Triolo, Jared",70.46910378
"Turang, Brice",66.17803905
"Turner, Justin",65.05838949
"Turner, Trea",71.70081345
"Urshela, Gio",68.20493011
"Varsho, Daulton",73.66690459
"Vaughn, Andrew",70.7792193
"Verdugo, Alex",68.39494085
"Vientos, Mark",71.67388908
"Vierling, Matt",71.08774344
"Volpe, Anthony",69.46280626
"Walker, Christian",75.04501966
"Ward, Taylor",69.8286211
"Wells, Austin",72.47789593
"Westburg, Jordan",71.01947804
"Winker, Jesse",69.5911513
"Winn, Masyn",70.22580169
"Witt Jr., Bobby",74.67063141
"Wong, Connor",72.01319634
"Yastrzemski, Mike",70.94695535
"Young, Jacob",68.17035116
